Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
P6_S3_L002_I1_001	P6_S3_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145444271.0	0.0	10.0	39.0	2.4064199819874648e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P6_S3_L002_I2_001	P6_S3_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145444271.0	0.0	10.0	50.0	2.2689102687310385e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P7_S5_L002_I1_001	P7_S5_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345874999.0	0.0	10.0	30.0	1.0119262768685978e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P7_S5_L002_I2_001	P7_S5_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	345874999.0	0.0	10.0	49.0	9.541019181903921e-06	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P8_S7_L002_I1_001	P8_S7_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150269634.0	0.0	10.0	29.0	2.329146552656141e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P8_S7_L002_I2_001	P8_S7_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150269634.0	0.0	10.0	49.0	2.1960524639329328e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P9_S9_L002_I1_001	P9_S9_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163230446.0	0.0	10.0	69.0	2.144207827502965e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
P9_S9_L002_I2_001	P9_S9_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163230446.0	0.0	10.0	50.0	2.0216816659313668e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Undetermined_S0_L002_I1_001	Undetermined_S0_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160933094.0	0.0	10.0	55.0	0.10619831656015936	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Undetermined_S0_L002_I2_001	Undetermined_S0_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160933094.0	0.0	10.0	49.0	0.0945849210889783	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
Undetermined_S0_L003_I1_001	Undetermined_S0_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200444185.0	0.0	10.0	58.0	0.08136624573452149	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
Undetermined_S0_L003_I2_001	Undetermined_S0_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200444185.0	0.0	10.0	52.0	0.07208163683378191	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
Undetermined_S0_L004_I1_001	Undetermined_S0_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204721024.0	0.0	10.0	58.0	0.07882273236746322	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
Undetermined_S0_L004_I2_001	Undetermined_S0_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204721024.0	0.0	10.0	52.0	0.06916317701627625	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V10_S10_L002_I1_001	V10_S10_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	188110627.0	0.0	10.0	49.0	1.860607269147e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
