Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
01_P_21_S1_L001_R1_001	01_P_21_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	28.0	49.0	83.76057937740032	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L001_R2_001	01_P_21_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74661927.0	0.0	150.0	42.0	74.02365676778328	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
01_P_21_S1_L002_R1_001	01_P_21_S1_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	28.0	49.0	83.75224185916824	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L002_R2_001	01_P_21_S1_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73554277.0	0.0	150.0	42.0	73.8893280418162	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
01_P_21_S1_L003_R1_001	01_P_21_S1_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	28.0	49.0	84.03663024968066	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L003_R2_001	01_P_21_S1_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68920918.0	0.0	150.0	42.0	73.99199076710413	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
01_P_21_S1_L004_R1_001	01_P_21_S1_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	28.0	49.0	85.02406567230408	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
01_P_21_S1_L004_R2_001	01_P_21_S1_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67414708.0	0.0	150.0	42.0	74.80986072589036	150.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
02_P_22_S2_L001_R1_001	02_P_22_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	28.0	49.0	85.99288655878358	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
02_P_22_S2_L001_R2_001	02_P_22_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74111809.0	0.0	150.0	42.0	73.71357689587173	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
02_P_22_S2_L002_R1_001	02_P_22_S2_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	28.0	49.0	85.97338684584027	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
02_P_22_S2_L002_R2_001	02_P_22_S2_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73265590.0	0.0	150.0	42.0	73.72896549904323	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
02_P_22_S2_L003_R1_001	02_P_22_S2_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68739151.0	0.0	28.0	49.0	86.23644687178972	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
02_P_22_S2_L003_R2_001	02_P_22_S2_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68739151.0	0.0	150.0	42.0	73.5721530660615	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
02_P_22_S2_L004_R1_001	02_P_22_S2_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67267981.0	0.0	28.0	49.0	87.28016163382706	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
02_P_22_S2_L004_R2_001	02_P_22_S2_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67267981.0	0.0	150.0	42.0	74.4627022348628	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	warn	pass
03_P_23_S3_L001_R1_001	03_P_23_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62429543.0	0.0	28.0	49.0	94.09970895705719	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
03_P_23_S3_L001_R2_001	03_P_23_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62429543.0	0.0	150.0	41.0	80.67716986787968	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
03_P_23_S3_L002_R1_001	03_P_23_S3_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61681207.0	0.0	28.0	49.0	93.81882823578867	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
03_P_23_S3_L002_R2_001	03_P_23_S3_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61681207.0	0.0	150.0	41.0	80.60100762359906	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
03_P_23_S3_L003_R1_001	03_P_23_S3_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57777382.0	0.0	28.0	49.0	93.56873849934335	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
03_P_23_S3_L003_R2_001	03_P_23_S3_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57777382.0	0.0	150.0	41.0	80.71241614968582	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
03_P_23_S3_L004_R1_001	03_P_23_S3_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56502821.0	0.0	28.0	49.0	94.6038522916472	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
03_P_23_S3_L004_R2_001	03_P_23_S3_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56502821.0	0.0	150.0	41.0	81.48741588305015	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
04_P_24_S4_L001_R1_001	04_P_24_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69097471.0	0.0	28.0	49.0	80.1505352140072	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
04_P_24_S4_L001_R2_001	04_P_24_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69097471.0	0.0	150.0	43.0	74.6811170892528	150.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
04_P_24_S4_L002_R1_001	04_P_24_S4_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68232954.0	0.0	28.0	49.0	80.19642918802496	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
04_P_24_S4_L002_R2_001	04_P_24_S4_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68232954.0	0.0	150.0	43.0	74.25035553577072	150.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
04_P_24_S4_L003_R1_001	04_P_24_S4_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63996523.0	0.0	28.0	49.0	80.61920864802076	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
04_P_24_S4_L003_R2_001	04_P_24_S4_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63996523.0	0.0	150.0	43.0	74.6585544676708	150.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
04_P_24_S4_L004_R1_001	04_P_24_S4_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62590559.0	0.0	28.0	49.0	81.63821172694445	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
04_P_24_S4_L004_R2_001	04_P_24_S4_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62590559.0	0.0	150.0	43.0	75.33464159664966	150.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	warn	pass
05_V_21_S5_L001_R1_001	05_V_21_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76472248.0	0.0	28.0	49.0	64.9606142443212	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
05_V_21_S5_L001_R2_001	05_V_21_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76472248.0	0.0	150.0	44.0	70.41688636978598	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
05_V_21_S5_L002_R1_001	05_V_21_S5_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75573698.0	0.0	28.0	49.0	64.99035765600003	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
05_V_21_S5_L002_R2_001	05_V_21_S5_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75573698.0	0.0	150.0	44.0	69.9905498171392	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
05_V_21_S5_L003_R1_001	05_V_21_S5_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71083440.0	0.0	28.0	49.0	65.84681288337512	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
05_V_21_S5_L003_R2_001	05_V_21_S5_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71083440.0	0.0	150.0	44.0	70.36390079978078	150.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
05_V_21_S5_L004_R1_001	05_V_21_S5_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69529219.0	0.0	28.0	49.0	66.8082290850046	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
05_V_21_S5_L004_R2_001	05_V_21_S5_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69529219.0	0.0	150.0	44.0	71.09727960186751	150.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
06_V_22_S6_L001_R1_001	06_V_22_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80626246.0	0.0	28.0	49.0	78.40540572830773	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
06_V_22_S6_L001_R2_001	06_V_22_S6_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80626246.0	0.0	150.0	42.0	71.26998917683551	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
06_V_22_S6_L002_R1_001	06_V_22_S6_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79610954.0	0.0	28.0	49.0	78.27436288961788	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
