Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
06_V_22_S6_L002_R2_001	06_V_22_S6_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79610954.0	0.0	150.0	42.0	71.0263126135152	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
06_V_22_S6_L003_R1_001	06_V_22_S6_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74561753.0	0.0	28.0	49.0	78.90894899340582	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
06_V_22_S6_L003_R2_001	06_V_22_S6_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74561753.0	0.0	150.0	42.0	71.33341343244943	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
06_V_22_S6_L004_R1_001	06_V_22_S6_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73126524.0	0.0	28.0	49.0	80.08116734488706	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
06_V_22_S6_L004_R2_001	06_V_22_S6_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73126524.0	0.0	150.0	42.0	72.01231404913878	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	warn	pass
07_V_23_S7_L001_R1_001	07_V_23_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87061394.0	0.0	28.0	49.0	69.17714968985877	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
07_V_23_S7_L001_R2_001	07_V_23_S7_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87061394.0	0.0	150.0	43.0	70.54044818053904	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
07_V_23_S7_L002_R1_001	07_V_23_S7_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85792782.0	0.0	28.0	49.0	69.20830785601623	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
07_V_23_S7_L002_R2_001	07_V_23_S7_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85792782.0	0.0	150.0	43.0	70.05312830136474	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
07_V_23_S7_L003_R1_001	07_V_23_S7_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79771423.0	0.0	28.0	49.0	70.10497380526824	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
07_V_23_S7_L003_R2_001	07_V_23_S7_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79771423.0	0.0	150.0	43.0	70.59619723745561	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
07_V_23_S7_L004_R1_001	07_V_23_S7_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78170830.0	0.0	28.0	49.0	71.34461599235723	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
07_V_23_S7_L004_R2_001	07_V_23_S7_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78170830.0	0.0	150.0	43.0	71.59966841093566	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	warn	pass
08_V_24_S8_L001_R1_001	08_V_24_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73365492.0	0.0	28.0	49.0	57.09343088509306	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
08_V_24_S8_L001_R2_001	08_V_24_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73365492.0	0.0	150.0	43.0	69.0945419604742	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
08_V_24_S8_L002_R1_001	08_V_24_S8_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72178078.0	0.0	28.0	49.0	57.28166324353315	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
08_V_24_S8_L002_R2_001	08_V_24_S8_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72178078.0	0.0	150.0	43.0	68.6951506316623	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
08_V_24_S8_L003_R1_001	08_V_24_S8_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67129279.0	0.0	28.0	49.0	58.89399432855831	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
08_V_24_S8_L003_R2_001	08_V_24_S8_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67129279.0	0.0	150.0	43.0	69.40464293583798	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
08_V_24_S8_L004_R1_001	08_V_24_S8_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65561019.0	0.0	28.0	49.0	59.81988494144227	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
08_V_24_S8_L004_R2_001	08_V_24_S8_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65561019.0	0.0	150.0	43.0	70.48579019522498	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	warn	pass
09_P_25_S9_L001_R1_001	09_P_25_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72425507.0	0.0	28.0	49.0	92.57469434182138	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
09_P_25_S9_L001_R2_001	09_P_25_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72425507.0	0.0	150.0	40.0	78.88812887550259	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
09_P_25_S9_L002_R1_001	09_P_25_S9_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71176909.0	0.0	28.0	49.0	92.47217371306546	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
09_P_25_S9_L002_R2_001	09_P_25_S9_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71176909.0	0.0	150.0	40.0	78.87728591271174	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
09_P_25_S9_L003_R1_001	09_P_25_S9_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65951146.0	0.0	28.0	49.0	92.35917900502771	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
09_P_25_S9_L003_R2_001	09_P_25_S9_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65951146.0	0.0	150.0	40.0	79.06090697816668	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
09_P_25_S9_L004_R1_001	09_P_25_S9_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64382502.0	0.0	28.0	49.0	93.32324778889273	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
09_P_25_S9_L004_R2_001	09_P_25_S9_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64382502.0	0.0	150.0	40.0	80.13872352993921	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
10_P_26_S10_L001_R1_001	10_P_26_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79433139.0	0.0	28.0	49.0	78.3317838845405	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
10_P_26_S10_L001_R2_001	10_P_26_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79433139.0	0.0	150.0	41.0	73.35244814402884	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
10_P_26_S10_L002_R1_001	10_P_26_S10_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78282928.0	0.0	28.0	49.0	78.37479216976735	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
10_P_26_S10_L002_R2_001	10_P_26_S10_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78282928.0	0.0	150.0	41.0	72.96998870897465	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
10_P_26_S10_L003_R1_001	10_P_26_S10_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73036750.0	0.0	28.0	49.0	79.0050357043973	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
10_P_26_S10_L003_R2_001	10_P_26_S10_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73036750.0	0.0	150.0	41.0	73.49225923904491	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
10_P_26_S10_L004_R1_001	10_P_26_S10_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71284752.0	0.0	28.0	49.0	80.21780957911399	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
10_P_26_S10_L004_R2_001	10_P_26_S10_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71284752.0	0.0	150.0	41.0	74.26695991049635	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
11_V_25_S11_L001_R1_001	11_V_25_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72088545.0	0.0	28.0	49.0	80.93341606703113	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
11_V_25_S11_L001_R2_001	11_V_25_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72088545.0	0.0	150.0	42.0	71.89713620125684	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
11_V_25_S11_L002_R1_001	11_V_25_S11_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71002098.0	0.0	28.0	49.0	81.11061445917763	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
11_V_25_S11_L002_R2_001	11_V_25_S11_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71002098.0	0.0	150.0	42.0	71.65888238721777	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
11_V_25_S11_L003_R1_001	11_V_25_S11_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66430506.0	0.0	28.0	49.0	81.60303193315674	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
11_V_25_S11_L003_R2_001	11_V_25_S11_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66430506.0	0.0	150.0	42.0	71.83157194420487	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
11_V_25_S11_L004_R1_001	11_V_25_S11_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64912650.0	0.0	28.0	49.0	82.80972711050678	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
11_V_25_S11_L004_R2_001	11_V_25_S11_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64912650.0	0.0	150.0	42.0	73.0499101448731	150.0	pass	pass	warn	pass	warn	fail	pass	pass	pass	warn	pass
12_V_26_S12_L001_R1_001	12_V_26_S12_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72855693.0	0.0	28.0	49.0	49.422038320474456	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
12_V_26_S12_L001_R2_001	12_V_26_S12_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72855693.0	0.0	150.0	43.0	67.44256725800733	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
12_V_26_S12_L002_R1_001	12_V_26_S12_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71689033.0	0.0	28.0	49.0	49.51576006749201	28.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
12_V_26_S12_L002_R2_001	12_V_26_S12_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71689033.0	0.0	150.0	43.0	67.46642889464475	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
12_V_26_S12_L003_R1_001	12_V_26_S12_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66612722.0	0.0	28.0	49.0	50.9093591829881	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
12_V_26_S12_L003_R2_001	12_V_26_S12_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66612722.0	0.0	150.0	43.0	67.87051117326686	150.0	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
12_V_26_S12_L004_R1_001	12_V_26_S12_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64959849.0	0.0	28.0	49.0	52.15858737887026	28.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
12_V_26_S12_L004_R2_001	12_V_26_S12_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64959849.0	0.0	150.0	43.0	68.95773347756052	150.0	pass	pass	warn	pass	warn	fail	pass	pass	warn	warn	pass
13_P_27_S13_L001_R1_001	13_P_27_S13_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89852300.0	0.0	28.0	49.0	77.59282145978632	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
13_P_27_S13_L001_R2_001	13_P_27_S13_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89852300.0	0.0	150.0	42.0	69.53126029372827	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
13_P_27_S13_L002_R1_001	13_P_27_S13_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88308748.0	0.0	28.0	49.0	77.53280683775702	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
13_P_27_S13_L002_R2_001	13_P_27_S13_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88308748.0	0.0	150.0	42.0	69.20624824119318	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
13_P_27_S13_L003_R1_001	13_P_27_S13_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82364793.0	0.0	28.0	49.0	78.18202056804337	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
13_P_27_S13_L003_R2_001	13_P_27_S13_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82364793.0	0.0	150.0	42.0	69.64165146707965	150.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
13_P_27_S13_L004_R1_001	13_P_27_S13_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80588992.0	0.0	28.0	49.0	79.32482518757797	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
13_P_27_S13_L004_R2_001	13_P_27_S13_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80588992.0	0.0	150.0	42.0	70.34798358247174	150.0	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
14_P_28_S14_L001_R1_001	14_P_28_S14_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63512662.0	0.0	28.0	49.0	90.10108824435503	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
14_P_28_S14_L001_R2_001	14_P_28_S14_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63512662.0	0.0	150.0	40.0	78.3494843994527	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
14_P_28_S14_L002_R1_001	14_P_28_S14_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62580875.0	0.0	28.0	49.0	90.05755676738237	28.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
14_P_28_S14_L002_R2_001	14_P_28_S14_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62580875.0	0.0	150.0	40.0	78.39140484238985	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
