# ALPHA = 0.05
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 1935
# _SET1_  P-VALUE = 0.000112188
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10487         1   40470912   40548321    378      27  465309        1.426     0.037726   -4.4409e-16        1.426
_SET1_   22955         1   41482871   41742815    970      56  467663      -1.2565        0.788   -4.4409e-16      -1.2565
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4737    0.0014991   -4.4409e-16       2.4737
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042   -4.4409e-16       1.5996
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31376      0.45112   -3.3307e-16     -0.31376
_SET1_   84871         1   48988527   50524626   4592     135  458185      0.14427      0.25007   -3.6082e-16      0.14427
_SET1_   26027         1   54972930   55110417    772     100  468738       1.3046     0.037237   -4.4409e-16       1.3046
_SET1_   374977        1   55072427   55185939    635     106  471229      0.67752      0.11929   -3.3307e-16      0.67752
_SET1_   5563          1   57075990   57191008    552      49  474300      0.16241      0.26417   -3.6082e-16      0.16241
_SET1_   55277         1   59727625   60238402   2076     144  465718      0.33161      0.20114   -3.3307e-16      0.33161
_SET1_   1573          1   60348980   60427445    263      30  467583    -0.049036      0.38295   -3.5388e-16    -0.049036
_SET1_   4774          1   61507946   61938460   1739     217  468051      0.40426      0.19949   -3.3307e-16      0.40426
_SET1_   84938         1   63214777   63340941    497      43  468734     -0.41839      0.48469   -3.3307e-16     -0.41839
_SET1_   57685         1   64901476   65168741    961     175  469245      0.17675      0.26806   -3.6082e-16      0.17675
_SET1_   3716          1   65288906   65467593    697      73  470327       1.2525     0.044647   -4.4409e-16       1.2525
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346   -4.4409e-16       1.1426
_SET1_   54741         1   65851131   66117242   1010      71  467108      0.48343      0.15793   -3.3307e-16      0.48343
_SET1_   5142          1   66223193   66850262   2519     185  467523     -0.53174      0.50617   -3.3307e-16     -0.53174
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665   -3.3307e-16       0.3662
_SET1_   57708         1   67355578   67464302    376      41  464065       1.5763      0.02247   -4.4409e-16       1.5763
_SET1_   55970         1   68157149   68334436    716      75  471389      0.68118      0.12149   -3.3307e-16      0.68118
_SET1_   79971         1   68554142   68733284    973     133  472883     -0.91825       0.6643   -3.3307e-16     -0.91825
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2857     0.035166   -4.4409e-16       1.2857
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14846      0.25107   -3.6082e-16      0.14846
_SET1_   51086         1   74666071   75020116   1257     121  466434     -0.26975      0.40964   -3.3307e-16     -0.26975
