# ALPHA = 0.05
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Trans-Endo-to-mural (set)
# _SET1_  NGENES = 1984
# _SET1_  P-VALUE = 0.00256953
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.78231      0.61309     9.992e-16     -0.78231
_SET1_   55194         1   36787631   36790567      8       5  468108     -0.44479       0.5586     9.992e-16     -0.44479
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5217      0.86046    8.8818e-16      -1.5217
_SET1_   84879         1   40420784   40435630     52      27  460084       0.4657      0.20256     9.992e-16       0.4657
_SET1_   10487         1   40505912   40538321    171      24  468531       1.3866     0.039908    8.8818e-16       1.3866
_SET1_   4904          1   43148060   43168024     65      29  463754       1.1828     0.055356    8.8818e-16       1.1828
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0048      0.71842    8.8818e-16      -1.0048
_SET1_   7075          1   43766566   43788781     59      19  463819     -0.22117      0.42258     9.992e-16     -0.22117
_SET1_   5792          1   43991708   44089343    463      48  459273       2.1189    0.0049543    8.8818e-16       2.1189
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    8.8818e-16        1.675
_SET1_   6202          1   45241213   45244427     15      11  470696     -0.51778      0.61259     9.992e-16     -0.51778
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    9.8532e-16     -0.12319
_SET1_   5052          1   45976707   45988562     58      12  473369      -1.1319      0.77659    8.8818e-16      -1.1319
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381     9.992e-16     -0.80529
_SET1_   9813          1   47140831   47184792    140      25  463992      -1.5247       0.8633    8.8818e-16      -1.5247
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423     9.992e-16      0.27288
_SET1_   84950         1   52870219   52883992     40      25  411587      -1.2346      0.81815    8.8818e-16      -1.2346
_SET1_   6342          1   53392901   53517289    650      45  467366      0.24567      0.27341     9.992e-16      0.24567
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.66408      0.57421     9.992e-16     -0.66408
_SET1_   26027         1   55007930   55100417    554      65  469665        1.271     0.044647    8.8818e-16        1.271
_SET1_   5563          1   57110990   57181008    342      34  473537      0.20016      0.25801     9.992e-16      0.20016
_SET1_   3725          1   59246463   59249785      5       3  467611      0.72709      0.21028     9.992e-16      0.72709
_SET1_   1573          1   60358980   60392445    102      29  469032      0.16775      0.29207     9.992e-16      0.16775
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21003        0.412     9.992e-16     -0.21003
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397     9.992e-16      0.30043
_SET1_   3716          1   65298906   65432593    539      58  470659       1.4903     0.028002    8.8818e-16       1.4903
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333     9.992e-16      0.87848
_SET1_   54741         1   65886131   66107242    834      54  466917      0.75734      0.10883     9.992e-16      0.75734
_SET1_   3953          1   65886335   66103176    816      50  466616      0.76564      0.10828     9.992e-16      0.76564
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056     9.992e-16     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531     9.992e-16      0.35883
_SET1_   26135         1   67873493   67896123     54      28  444808      0.32984      0.22774     9.992e-16      0.32984
_SET1_   55970         1   68167149   68299436    494      71  472673      0.79736       0.1055     9.992e-16      0.79736
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59218      0.54449     9.992e-16     -0.59218
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    8.8818e-16       1.0837
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304     9.992e-16      0.23392
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    8.8818e-16      -1.6124
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    8.8818e-16      -1.0914
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0412      0.94918    8.8818e-16      -2.0412
_SET1_   10561         1   79115477   79129763     49      21  459027     -0.45149       0.5257     9.992e-16     -0.45149
_SET1_   64123         1   79355449   79472495    608      45  474174      -0.3615      0.47501     9.992e-16      -0.3615
_SET1_   23266         1   82266082   82458107    828      83  469423      0.80541      0.10264     9.992e-16      0.80541
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331     9.992e-16     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017     9.992e-16      -0.3688
_SET1_   2787          1   84964006   84972262     31      13  477697    -0.057913      0.40274    9.9226e-16    -0.057913
_SET1_   255631        1   86194916   86622121   1969     103  472138     -0.98479      0.68279     9.992e-16     -0.98479
_SET1_   115361        1   89646831   89664633     73      26  458336     -0.54016      0.56414     9.992e-16     -0.54016
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.69764      0.60418     9.992e-16     -0.69764
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7149      0.89496    8.8818e-16      -1.7149
_SET1_   55144         1   90286573   90401991    351      80  468717      0.48172      0.17829     9.992e-16      0.48172
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35573      0.19845     9.992e-16      0.35573
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    8.8818e-16      -1.2717
_SET1_   6125          1   93297594   93307481     35      19  449980       1.2161     0.056365    8.8818e-16       1.2161
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    8.8818e-16       1.6371
_SET1_   54874         1   93913688   94020218    332      72  457632     0.021816      0.33854    9.9226e-16     0.021816
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.48176      0.18164     9.992e-16      0.48176
_SET1_   1266          1   95362507   95392735    167      50  466482       1.5899     0.021539    8.8818e-16       1.5899
_SET1_   54873         1  100111431  100160097    228      41  473679      -1.8401      0.92377    8.8818e-16      -1.8401
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.74244      0.63989     9.992e-16     -0.74244
_SET1_   1901          1  101702305  101707076     14       8  448520      -2.4599      0.98537    8.8818e-16      -2.4599
_SET1_   29957         1  108677344  108742980    288      39  464580     -0.49326       0.5125     9.992e-16     -0.49326
_SET1_   29899         1  109417972  109473044    200      40  468711       1.4059     0.034172    8.8818e-16       1.4059
_SET1_   2773          1  110091186  110138465    163      49  462162      0.36177      0.22349     9.992e-16      0.36177
_SET1_   9122          1  110905473  110933704    100      34  473756      -1.3309      0.81489    8.8818e-16      -1.3309
_SET1_   5906          1  112162405  112256807    436      46  472689      -1.1367      0.75975    8.8818e-16      -1.1367
_SET1_   3752          1  112318444  112532147    967     165  470362     -0.66868      0.58126     9.992e-16     -0.66868
_SET1_   55917         1  112938800  113003786    209      19  475516      0.10661      0.30729    9.8532e-16      0.10661
_SET1_   389           1  113243749  113250025     21      11  469985     -0.97028      0.73244     9.992e-16     -0.97028
_SET1_   6566          1  113454469  113498975    129      48  467498     -0.30038       0.4493     9.992e-16     -0.30038
_SET1_   7812          1  115259534  115300671    147      42  461732     -0.40755      0.49436     9.992e-16     -0.40755
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88769      0.10031     9.992e-16      0.88769
_SET1_   965           1  117057156  117113715    144      53  460422       1.6163     0.023265    8.8818e-16       1.6163
_SET1_   6913          1  119425666  119532179    396      53  469230      -1.4394      0.83493    8.8818e-16      -1.4394
