# ALPHA = 0.05
# NUMBER_OF_TESTS = 32

# _SET1_  VARIABLE = T-Pericyte (set)
# _SET1_  NGENES = 1758
# _SET1_  P-VALUE = 0.0014215
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7812          1  115249534  115335671    279      56  465333     -0.42843      0.49871   -5.5511e-17     -0.42843
_SET1_   55356         1  116484119  116622675    493      61  468875      0.92678     0.090137   -1.1102e-16      0.92678
_SET1_   476           1  116879802  116958069    256      35  467910       1.9115     0.015817             0       1.9115
_SET1_   6913          1  119415666  119567179    558      52  470279      -1.5161      0.85254             0      -1.5161
_SET1_   4853          1  120444176  120674880    329      55  449934      0.19591      0.26855   -8.3267e-17      0.19591
_SET1_   10628         1  145403438  145452635     98      34  394903      -1.0436      0.67727             0      -1.0436
_SET1_   8515          1  145489709  145553868    153      38  411800       -0.738      0.57874   -1.1102e-16       -0.738
_SET1_   27246         1  145575990  145699005    225      34  371109     -0.77307      0.54201   -1.1102e-16     -0.77307
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53176      0.55191   -1.1102e-16     -0.53176
_SET1_   3782          1  154659938  154877754    829     157  469577     0.053763      0.28006   -6.9389e-17     0.053763
_SET1_   23208         1  155794260  155864990    188      49  464793       1.3449     0.039733             0       1.3449
_SET1_   9181          1  155906431  155988396    225      60  458286     -0.90229      0.66671   -1.1102e-16     -0.90229
_SET1_   4000          1  156017369  156119880    313      67  469381      0.87181     0.096816   -1.1102e-16      0.87181
_SET1_   10485         1  156364048  156461441    306      82  461738      0.61145      0.13757   -1.1102e-16      0.61145
_SET1_   4209          1  156423513  156505634    288      52  470579       1.0567     0.067188             0       1.0567
_SET1_   60484         1  156554085  156605517    222      31  470428     -0.68743      0.63759   -1.1102e-16     -0.68743
_SET1_   375033        1  156828496  156896226    284      52  473231      -1.9756      0.94226             0      -1.9756
_SET1_   55243         1  157928063  158075846    642     132  470249      0.44536      0.17263   -5.5511e-17      0.44536
_SET1_   3766          1  159997257  160075051    261      50  463761     -0.60231      0.54527   -1.1102e-16     -0.60231
_SET1_   477           1  160050520  160123381    302      47  472789     -0.55779      0.54671   -1.1102e-16     -0.55779
_SET1_   9722          1  162004581  162349813   1738     123  469668      0.28628      0.21189   -5.5511e-17      0.28628
_SET1_   4921          1  162567228  162766409    801      82  469334     -0.40994       0.4895   -5.5511e-17     -0.40994
_SET1_   8490          1  163102089  163326581   1120      86  473967       2.1656    0.0037659             0       2.1656
_SET1_   5087          1  164493597  164831067   1388     215  468364      0.17934      0.25324   -8.3267e-17      0.17934
