# ALPHA = 0.05
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 888
# _SET1_  P-VALUE = 0.000811733
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80896         1  182758584  182799519    169      38  472282     -0.37758      0.51987    5.5511e-16     -0.37758
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.50383      0.51053    5.5511e-16     -0.50383
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.46824      0.18038    5.5511e-16      0.46824
_SET1_   116496        1  184760159  184943718    833      74  464988     0.002853      0.31919    5.4817e-16     0.002853
_SET1_   5321          1  186798032  186958113    699      85  468371      -1.1161      0.74016    4.4409e-16      -1.1161
_SET1_   339479        1  190066792  190447534   1316      93  466164      0.77573      0.10385    5.5511e-16      0.77573
_SET1_   5996          1  192544857  192549159     21      11  471893      0.81992      0.13113    5.5511e-16      0.81992
_SET1_   23418         1  197170592  197447585    903     118  456134      0.58906       0.1457    5.5511e-16      0.58906
_SET1_   5788          1  198608098  198726605    484      72  463424    -0.047783      0.35037    5.4817e-16    -0.047783
_SET1_   89796         1  201508243  201796102   1273     168  468951     -0.13848      0.37474    5.5511e-16     -0.13848
_SET1_   4660          1  202317830  202557697    702      62  463017     -0.47738      0.50341    5.5511e-16     -0.47738
_SET1_   22874         1  204187979  204329057    747      69  471113      0.79592      0.09888    5.5511e-16      0.79592
_SET1_   23114         1  204797782  204991950   1018     111  465436       1.2822     0.041064    4.4409e-16       1.2822
_SET1_   6900          1  205012340  205047173    185      36  474477       2.6724   0.00090337    4.4409e-16       2.6724
_SET1_   5129          1  205473684  205501921    165      54  470661        1.432     0.029916    4.4409e-16        1.432
_SET1_   255928        1  210111519  210337636    854      56  466392       1.8485     0.010968    4.4409e-16       1.8485
_SET1_   3756          1  210851657  211307457   2096     141  469183     -0.24305      0.40197    5.5511e-16     -0.24305
_SET1_   9926          1  211916799  212048531    590      54  472296      -1.2033      0.78316    4.4409e-16      -1.2033
_SET1_   2104          1  216676588  217311097   3043     254  470566      0.18581      0.25185    5.5511e-16      0.18581
_SET1_   4139          1  220701568  220837799    458      49  463980      0.71135       0.1373    5.5511e-16      0.71135
