# ALPHA = 0.05
# NUMBER_OF_TESTS = 44

# _SET1_  VARIABLE = Pericyte-2 (set)
# _SET1_  NGENES = 1364
# _SET1_  P-VALUE = 0.000297932
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.13043      0.39367    5.5511e-16     -0.13043
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    5.5511e-16     -0.81311
_SET1_   260293        1   47427036   47516423    419      46  461175      -1.8953       0.9307    6.6613e-16      -1.8953
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    5.5511e-16      0.26589
_SET1_   5563          1   57110990   57181008    342      34  473537      0.19074      0.25801    5.5511e-16      0.19074
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23754      0.22632    5.5511e-16      0.23754
_SET1_   4774          1   61542946   61928460   1586     200  467631      0.51857      0.17443    5.5511e-16      0.51857
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    5.5511e-16     -0.21971
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397    5.5511e-16      0.30157
_SET1_   55225         1   65210778   65298915    256      35  469988      0.44734      0.20483    5.5511e-16      0.44734
_SET1_   3716          1   65298906   65432593    539      58  470659       1.4835     0.028002    6.6613e-16       1.4835
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    5.5511e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    5.5511e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    5.5511e-16      0.34835
_SET1_   57708         1   67390578   67454302    206      35  471614       1.5752     0.023359    6.6613e-16       1.5752
_SET1_   55970         1   68167149   68299436    494      71  472673      0.79172       0.1055    5.5511e-16      0.79172
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59477      0.54449    5.5511e-16     -0.59477
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    6.6613e-16       1.0799
_SET1_   9406          1   71528974   71546972     48      20  473029      0.36509      0.22847    5.5511e-16      0.36509
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    5.5511e-16      0.23316
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    6.6613e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    6.6613e-16      -1.0953
_SET1_   23266         1   82266082   82458107    828      83  469423      0.79952      0.10264    5.5511e-16      0.79952
