# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 1262
# _SET1_  P-VALUE = 0.00294173
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    5.5511e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    5.5511e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531     4.996e-16      0.34835
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    4.4409e-16       1.0799
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304     4.996e-16      0.23316
_SET1_   204962        1   75667816   76081698   1671      89  469099      0.77217      0.10308    5.5511e-16      0.77217
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    4.4409e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    4.4409e-16      -1.0953
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0472      0.94918    4.4409e-16      -2.0472
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.43641      0.50331     4.996e-16     -0.43641
_SET1_   5567          1   84543745   84704181    435      66  464042     -0.37598      0.46017     4.996e-16     -0.37598
_SET1_   23576         1   85784168   86044046   1178     111  469038     0.071223      0.28932    5.1348e-16     0.071223
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7245      0.89496    4.4409e-16      -1.7245
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2793      0.79954    4.4409e-16      -1.2793
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6275     0.019936    4.4409e-16       1.6275
_SET1_   54874         1   93913688   94020218    332      72  457632     0.016068      0.33854    5.0654e-16     0.016068
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.47577      0.18164     4.996e-16      0.47577
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.21611      0.40732     4.996e-16     -0.21611
_SET1_   284611        1  109102653  109181949    208      29  465915      0.75177      0.14207    5.5511e-16      0.75177
_SET1_   29899         1  109417972  109473044    200      40  468711       1.3986     0.034172    4.4409e-16       1.3986
_SET1_   963           1  111413821  111442558    110      21  474791      -1.0515      0.73283    4.4409e-16      -1.0515
_SET1_   128338        1  111659954  111682838     97      28  466111      -0.2657      0.44735     4.996e-16      -0.2657
_SET1_   5906          1  112162405  112256807    436      46  472689      -1.1445      0.75975    4.4409e-16      -1.1445
_SET1_   3752          1  112318444  112532147    967     165  470362     -0.66615      0.58126    5.5511e-16     -0.66615
_SET1_   55917         1  112938800  113003786    209      19  475516      0.09724      0.30729    5.1348e-16      0.09724
_SET1_   7482          1  113010040  113063910    190      54  472170     -0.33653      0.44784     4.996e-16     -0.33653
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88124      0.10031    5.5511e-16      0.88124
_SET1_   965           1  117057156  117113715    144      53  460422       1.6098     0.023265    4.4409e-16       1.6098
_SET1_   647135        1  143915897  144094426     32      21  347485      -0.7736      0.63919    5.5511e-16      -0.7736
