# ALPHA = 0.05
# NUMBER_OF_TESTS = 19

# _SET1_  VARIABLE = T-cell-mixed (set)
# _SET1_  NGENES = 264
# _SET1_  P-VALUE = 0.00118823
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23037         5   31604345   32121038   2653     327  472584      -1.0491      0.70351   -2.2204e-16      -1.0491
_SET1_   2533          5   39095354   39305759    936     101  471098      -2.2343      0.96012             0      -2.2343
_SET1_   133418        5   49682026   49772234    384      36  456576      0.97859     0.074244   -1.1102e-16      0.97859
_SET1_   79668         5   49926733   50152356    707      58  466411      0.33311      0.22131   -1.6653e-16      0.33311
_SET1_   3672          5   52049136   52259485   1031     127  469085      0.22337      0.22485   -1.3878e-16      0.22337
_SET1_   79993         5   60037616   60175101    506      52  466852       1.4183     0.029754   -2.2204e-16       1.4183
_SET1_   375449        5   65857176   66475426   2733     204  468981      -1.2034      0.76156   -2.2204e-16      -1.2034
_SET1_   10788         5   75664131   76013957   1606     195  470319       2.9499   0.00026243             0       2.9499
_SET1_   23635         5   80703179   81082072   1369      97  467283      0.18086      0.24799   -1.3878e-16      0.18086
_SET1_   4208          5   88004058   88234922    717      86  460018      0.57488      0.13827   -1.1102e-16      0.57488
_SET1_   814           5  110524947  110840584   1248     105  471249      -2.0398      0.93726             0      -2.0398
_SET1_   56990         5  130564702  130740383    604      59  451323      0.25608      0.24239   -1.6653e-16      0.25608
_SET1_   5521          5  145959067  146496083   2003     172  467429     -0.10953      0.35466   -1.5266e-16     -0.10953
_SET1_   3702          5  156572907  156692109    605      75  472245       1.4567      0.02655   -2.2204e-16       1.4567
_SET1_   26999         5  156658091  156832606    702      57  468687     -0.16606      0.37521   -1.3878e-16     -0.16606
_SET1_   1879          5  158112916  158561788   1457     156  462213      -1.4769      0.83367   -2.2204e-16      -1.4769
_SET1_   1794          5  169029251  169520386   2325     206  470395       -0.495      0.50162   -1.6653e-16       -0.495
_SET1_   6793          5  171459074  171650346    998     123  469892      -1.2014      0.75738   -2.2204e-16      -1.2014
