# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = SMC (set)
# _SET1_  NGENES = 1276
# _SET1_  P-VALUE = 0.000329868
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1806          1   97543299   98386615   3356     227  468480     -0.63722      0.56804     9.992e-16     -0.63722
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.74244      0.63989     9.992e-16     -0.74244
_SET1_   6814          1  109289285  109352148    272      22  471973      -0.5427      0.55877     9.992e-16      -0.5427
_SET1_   29899         1  109417972  109473044    200      40  468711       1.4059     0.034172    8.8818e-16       1.4059
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.89325      0.67609     9.992e-16     -0.89325
_SET1_   845           1  116242624  116311426    416      41  471169      0.79179      0.10492     9.992e-16      0.79179
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88769      0.10031     9.992e-16      0.88769
_SET1_   476           1  116914802  116948069    102      23  463733       1.1201     0.088976    8.8818e-16       1.1201
_SET1_   6913          1  119425666  119532179    396      53  469230      -1.4394      0.83493    8.8818e-16      -1.4394
_SET1_   8515          1  145524709  145543868     43      22  411569    -0.014602      0.33372    9.8185e-16    -0.014602
_SET1_   56957         1  149912229  149982686    223      37  458221       -1.342      0.84553    8.8818e-16       -1.342
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3116     0.045809    8.8818e-16       1.3116
_SET1_   55243         1  157963063  158065846    456     103  470839    -0.079159      0.34849    9.8532e-16    -0.079159
_SET1_   477           1  160085520  160113381    131      40  475186     -0.56717      0.55769     9.992e-16     -0.56717
_SET1_   9722          1  162039581  162339813   1494     117  469847      0.36825      0.19692     9.992e-16      0.36825
_SET1_   4921          1  162602228  162756409    620      62  469217      -0.1966      0.42411    9.7145e-16      -0.1966
_SET1_   8490          1  163112089  163291581    893      65  474416       1.7824      0.01204    8.8818e-16       1.7824
