# ALPHA = 0.05
# NUMBER_OF_TESTS = 19

# _SET1_  VARIABLE = Pericyte-2 (set)
# _SET1_  NGENES = 2033
# _SET1_  P-VALUE = 0.000625713
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57035         1   25568740   25574010     22      12  460882     -0.98349      0.77207    1.2212e-15     -0.98349
_SET1_   57134         1   25943959   26111258    659      73  461956     -0.29946      0.46309    1.2212e-15     -0.29946
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8198      0.91647    1.3323e-15      -1.8198
_SET1_   27245         1   27860756   27930463    179      58  452686      -1.6937       0.9119    1.3323e-15      -1.6937
_SET1_   2268          1   27938800   27961727     93      27  455169       0.5008      0.22207    1.2212e-15       0.5008
_SET1_   23673         1   28099694   28150963    159      30  454096      0.14922      0.36301    1.2212e-15      0.14922
_SET1_   54952         1   28879529   28905057     88      30  464354       2.4439     0.002102    1.3323e-15       2.4439
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    1.3323e-15       1.0449
_SET1_   64129         1   32042086   32053290     24      16  473929       1.5745     0.026698    1.3323e-15       1.5745
_SET1_   113444        1   35315963   35325417     39      19  472714      0.26127      0.24891    1.2212e-15      0.26127
_SET1_   9204          1   35451766   35497569    152      25  462292     -0.88957      0.74273    1.2212e-15     -0.88957
_SET1_   6421          1   35641981   35658766     75      20  465840      0.53843      0.22475    1.2212e-15      0.53843
_SET1_   9202          1   35734444   35887545    451      58  462038      0.36775      0.25935    1.2212e-15      0.36775
_SET1_   79932         1   35899091   36023037    386      60  459090     -0.49424      0.57509    1.2212e-15     -0.49424
_SET1_   3633          1   38326369   38412729    298      46  467961      0.65111      0.13624    1.2212e-15      0.65111
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1625      0.77676    1.3323e-15      -1.1625
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5217      0.86046    1.3323e-15      -1.5217
_SET1_   84879         1   40420784   40435630     52      27  460084       0.4657      0.20256    1.2212e-15       0.4657
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2887      0.80386    1.3323e-15      -1.2887
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.85349      0.08867    1.2212e-15      0.85349
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0048      0.71842    1.3323e-15      -1.0048
_SET1_   7075          1   43766566   43788781     59      19  463819     -0.22117      0.42258    1.2212e-15     -0.22117
_SET1_   79033         1   44686742   44821315    404      56  462924       1.3996     0.033422    1.3323e-15       1.3996
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    1.3323e-15        1.675
_SET1_   8891          1   45316194   45452394    573      43  468042      -1.7277      0.90613    1.3323e-15      -1.7277
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    1.2212e-15     -0.12319
_SET1_   10420         1   45809555   45956840    429      42  460110      -1.6435      0.88947    1.3323e-15      -1.6435
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381    1.2212e-15     -0.80529
_SET1_   260293        1   47427036   47516423    419      46  461175      -1.8869       0.9307    1.3323e-15      -1.8869
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2252     0.053257    1.3323e-15       1.2252
_SET1_   114883        1   52082546   52254891    499      68  459943     -0.46294      0.55006    1.2212e-15     -0.46294
_SET1_   9372          1   52607678   52812358    637      66  457521      -1.2325      0.81997    1.3323e-15      -1.2325
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.66408      0.57421    1.2212e-15     -0.66408
_SET1_   9528          1   54497346   54519135     67      23  465908        1.375        0.047    1.3323e-15        1.375
_SET1_   23648         1   54691104   54872068    813     138  465304     -0.13539      0.36798    1.2212e-15     -0.13539
_SET1_   23358         1   55532032   55681039    495      54  470620      -1.1282      0.77501    1.3323e-15      -1.1282
_SET1_   8613          1   56960419   57045257    366      61  465839      0.36613      0.20777    1.2212e-15      0.36613
_SET1_   5563          1   57110990   57181008    342      34  473537      0.20016      0.25801    1.2212e-15      0.20016
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23357      0.22632    1.2212e-15      0.23357
_SET1_   4774          1   61542946   61928460   1586     200  467631      0.51338      0.17443    1.2212e-15      0.51338
_SET1_   83941         1   62146718   62191095    186      35  469545     -0.88778      0.67939    1.2212e-15     -0.88778
_SET1_   4919          1   64239690   64647181   1608     175  466269     0.041763      0.30476    1.2282e-15     0.041763
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397    1.2212e-15      0.30043
_SET1_   55225         1   65210778   65298915    256      35  469988      0.45472      0.20483    1.2212e-15      0.45472
_SET1_   3716          1   65298906   65432593    539      58  470659       1.4903     0.028002    1.3323e-15       1.4903
_SET1_   3953          1   65886335   66103176    816      50  466616      0.76564      0.10828    1.2212e-15      0.76564
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    1.2212e-15     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    1.2212e-15      0.35883
_SET1_   57708         1   67390578   67454302    206      35  471614       1.5827     0.023359    1.3323e-15       1.5827
_SET1_   55970         1   68167149   68299436    494      71  472673      0.79736       0.1055    1.2212e-15      0.79736
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59218      0.54449    1.2212e-15     -0.59218
_SET1_   9295          1   70671365   70717703    129      36  470369      -2.0723      0.95958    1.3323e-15      -2.0723
_SET1_   9406          1   71528974   71546972     48      20  473029      0.37188      0.22847    1.2212e-15      0.37188
_SET1_   34            1   76190043   76229355    223      35  467537      -1.4454      0.84425    1.3323e-15      -1.4454
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    1.3323e-15      -1.6124
_SET1_   23032         1   78161672   78225564    177      59  469943     -0.47599       0.5254    1.2212e-15     -0.47599
_SET1_   8880          1   78409740   78444839    112      33  452263      0.15705      0.30404    1.2212e-15      0.15705
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0412      0.94918    1.3323e-15      -2.0412
_SET1_   10561         1   79115477   79129763     49      21  459027     -0.45149       0.5257    1.2212e-15     -0.45149
_SET1_   64123         1   79355449   79472495    608      45  474174      -0.3615      0.47501    1.2212e-15      -0.3615
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    1.2212e-15     -0.42677
_SET1_   255631        1   86194916   86622121   1969     103  472138     -0.98479      0.68279    1.2212e-15     -0.98479
_SET1_   57489         1   86812507   86862025    219      38  472829     -0.65306      0.58794    1.2212e-15     -0.65306
_SET1_   7813          1   92974253   93257961   1163      46  464546      0.90178     0.095617    1.2212e-15      0.90178
