gene,log2FoldChange,pvalue_adjust
SARS1,-0.13307897556394194,0.8888374809961573
RANBP3,-0.20806026783030876,0.8408105325797578
ARID4A,0.04205695735117813,0.9606089587778206
EIPR1,-0.040008914561764364,0.9779849451040771
PNPLA6,0.3795040096568321,0.7533380787660399
IFT88,0.01113977025245482,0.9951162254537596
ZCCHC8,-0.08864749283060062,0.8845057293289523
FUT8,-0.03538135040881493,0.9715753274824269
UBA6,0.03190784234142898,0.9749143629115189
GAB2,0.33741310983629574,0.4865333389287494
ATP6V0A1,-0.4915828224908181,0.059382938029908176
PIAS1,0.002483902497675912,0.9990704797072689
SLC4A7,-0.30835285344769847,0.7858642987248443
TMSB10,0.4640913116090161,0.7809741823017742
RNF19A,-0.02511979592141733,0.9749143629115189
PEX3,-0.17754765324947996,0.8115040892016147
SH3YL1,0.2537974679025421,0.7616769480937411
VCL,-0.19235238138866642,0.8115040892016147
DAPK2,1.0813047300991185,0.12575864273266255
NSMAF,-0.19376204717222922,0.7809741823017742
ADSS2,0.07424249029576793,0.9439530534865128
TIMP2,-0.06489694026437154,0.9701220440718163
RFC1,-0.03403375989183664,0.9749143629115189
TBC1D23,-0.10170132178595066,0.9402066110902344
CUL3,0.053645947141310796,0.9223083712753831
MYOM2,1.0507196776100078,0.67840857886708394
ZZZ3,-0.1513153173610751,0.8282252427879652
TUBG2,0.18696599350796014,0.8616287420927664
NSUN2,-0.11587179637153065,0.8965482264487424
FBXO42,-0.11743028681420256,0.8845057293289523
MFAP3,0.04766833914240274,0.9750865089958053
MRI1,0.0538522838143351,0.9749143629115189
PI4K2B,0.22843634234555357,0.7483730032361957
BOD1L1,-0.23675399476725748,0.6646311810035667
TRIO,0.043863193227016116,0.9476572352787284
CLEC16A,-0.08619309194291044,0.9273925714210307
ZFYVE16,0.09105581860892427,0.8888374809961573
RIPOR1,0.11032019500620346,0.942211142983048
RAI14,-0.04178766894074803,0.9757065804629317
PHLPP2,0.020321194007522827,0.9848061412373601
STAU2,0.039746248649899105,0.9590593498985489
INPP4A,0.030764433815408894,0.9749143629115189
PSMA4,0.007883449371429997,0.9981751533679811
RIPOR3,0.5879666138513618,0.25183884097538717
AIFM2,0.12600790494335892,0.9353491493159706
SPATA7,-0.13488364776444778,0.8888374809961573
MED17,-0.21005128833724643,0.7508390425001815
DCUN1D1,-0.14993017747700038,0.8282252427879652
JADE2,0.2728863083310083,0.703635872972654
LCP2,0.21149428916784885,0.9086523685952751
TRIT1,0.0395270956477206,0.9772764127789797
CTNNA1,0.09321655148412668,0.8255966388166293
CNTLN,-0.03764176626890757,0.9492936885610805
EPHA3,0.14088637804331305,0.9325057271595941
OFD1,0.029102768435378734,0.9757065804629317
PREX2,-0.13705474581820032,0.8814808029608813
WDR37,-0.126228228615879,0.8838405745635975
YTHDC2,0.010817124998010587,0.9926980537245033
CTPS2,-0.08645992178770043,0.9435127563672966
ATP6V1H,0.1045156883101486,0.8845057293289523
POLR2B,-0.00228907904129932,0.9994503307555312
ATOSA,-0.203595486175215,0.7593148574243014
ARAP2,-0.02609007099232196,0.9779849451040771
TPR,-0.21017468678348045,0.5830813388670858
KATNIP,-0.03909457112858732,0.9749143629115189
DTNBP1,-0.07413592791846264,0.9494094734402163
