gene,log2FoldChange,pvalue_adjust
TSPAN6,0.25173226227615264,0.9999681573509325
TNMD,0.04771377709919359,0.9999681573509325
DPM1,0.1295879436220407,0.9999681573509325
SCYL3,-0.049054726756501466,0.9999681573509325
C1orf112,-0.1631837008991599,0.9999681573509325
FGR,-0.19554170922866213,0.9999681573509325
CFH,0.1545369928583781,0.9999681573509325
FUCA2,0.22463576262989823,0.9999681573509325
GCLC,0.4813357465334701,0.9999681573509325
NFYA,-0.06311950156972101,0.9999681573509325
STPG1,-0.7037930384955314,0.9999681573509325
NIPAL3,0.6576240411992389,0.9999681573509325
LAS1L,0.008112380890882252,0.9999681573509325
ENPP4,0.27300309555750685,0.9999681573509325
SEMA3F,0.6302882800654233,0.9999681573509325
CFTR,-0.41937621019052856,0.9999681573509325
ANKIB1,0.04660859085445347,0.9999681573509325
CYP51A1,-0.19822338585905996,0.9999681573509325
KRIT1,-0.0853371469230441,0.9999681573509325
RAD52,-0.29806037898319454,0.9999681573509325
BAD,0.4605307688093586,0.9999681573509325
LAP3,-0.1365569172381839,0.9999681573509325
CD99,-0.21084460382522838,0.9999681573509325
HS3ST1,-0.7189712035791753,0.9999681573509325
WNT16,0.09325714069478397,0.9999681573509325
HECW1,0.5969469386768568,0.9999681573509325
MAD1L1,0.06019324790061244,0.9999681573509325
LASP1,0.045288045139331934,0.9999681573509325
SNX11,0.3742995999599034,0.9999681573509325
M6PR,0.29605646613121916,0.9999681573509325
KLHL13,-0.0978940699812204,0.9999681573509325
ICA1,0.2397305346480773,0.9999681573509325
ALS2,0.03135516543106254,0.9999681573509325
CASP10,-0.47512598793749494,0.9999681573509325
CFLAR,-0.10829287338665618,0.9999681573509325
TFPI,0.4092673678455112,0.9999681573509325
NDUFAF7,0.18186561022782047,0.9999681573509325
RBM5,-0.037644225608381814,0.9999681573509325
SLC7A2,-0.5188329630144957,0.9999681573509325
ARF5,0.2471728339179654,0.9999681573509325
SARM1,-0.10285440857358095,0.9999681573509325
POLDIP2,1.475126434645059,0.9999681573509325
PLXND1,0.28117113949023254,0.9999681573509325
