gene,log2FoldChange,pvalue_adjust
MBTD1,0.058977983720137704,0.9589626872974782
UTP18,0.0442384620459446,0.9907793689541429
RNF216,0.16601397529313902,0.8644053282773786
TTC19,0.06796368595443497,0.9536238205977748
PTBP1,0.10564754066767121,0.9623661497516475
LARS2,-0.31625334567646746,0.7503793190884998
PIK3C2A,-0.09267761032355039,0.9454522772089229
PLAUR,0.40793582566318415,0.791014420274465
RABGAP1,-0.1635786864675475,0.7968276801505457
DCN,0.3573220429745524,0.37845005382489244
PPP5C,0.015393854631020039,0.9936006033925205
CEP68,-9.2685323085827e-4,0.9996446531761142
MAP4K3,0.020106104604348495,0.9907793689541429
BRCA1,-0.46820351134944327,0.7897199587839251
ERCC1,0.10920511402421602,0.9720624476995892
MBTPS2,-0.25842237373201354,0.9082750780817187
EXTL3,-0.20511308378253554,0.9082750780817187
ELOVL5,-0.1695313906528692,0.8434502420854183
KDM5D,-1.2160698292029735,0.8805930965179893
CALCOCO1,0.12173619811685558,0.9536238205977748
UBR7,0.04933723240598721,0.9907793689541429
MAP4K5,-0.0835848272070973,0.9536238205977748
MAN2B2,0.3743387053213805,0.7738911044501926
CLDN11,1.165153349524261,0.20169784028580343
MVP,-0.19952812360158848,0.9249342692878981
NUB1,0.1540652155966986,0.9460783295966674
PGM3,-0.12704870315409128,0.9538855719444287
CLK1,-0.06825115078627418,0.9760895546916057
POLR3B,-0.09856612705652687,0.9756753228547032
ANGEL1,-0.07129643501815916,0.9873602475445423
RNF14,-0.22617308023826166,0.9028734773731247
DDX11,0.17082901025682096,0.9698228371699963
MAMLD1,0.11403486699185751,0.9700020216489809
TACC3,0.2571030964553546,0.9459157780851053
UFL1,-0.14437687400960414,0.9348065102517493
POLA2,0.35376146996219593,0.8645987027802616
ZC3H3,0.1906019983120098,0.9178084843000647
CAPN1,0.3328227009989699,0.8401096644450555
MDH1,0.13912981670816058,0.9781861341540508
SLC30A9,-0.2093390533976494,0.8261221756743722
COX15,-0.43249567501330544,0.7307958372265084
YAF2,0.12245447837423412,0.923711754076234
ZMYND11,0.10633847094224894,0.9384639217626338
BID,0.018946741945415586,0.9937236305426195
MATR3,-0.28407661717221333,0.40148020179108423
XYLT2,0.24717212679521014,0.9348065102517493
NUDCD3,-0.09923798755449632,0.9489349737545422
ATP2C1,0.021942002512161447,0.9931103099402374
RALBP1,-0.12878757288989823,0.9526182277492081
