gene,log2FoldChange,pvalue_adjust
NDUFAB1,-0.0983873582535181,0.999976290894045
PDK4,-0.006118288647245183,0.999976290894045
ZMYND10,0.2442687634582664,0.999976290894045
ABCB5,-0.4758653765092679,0.999976290894045
SLC25A13,0.2553877477686638,0.999976290894045
ST7,0.3494857346209298,0.999976290894045
CDC27,-0.029189874076265783,0.999976290894045
SLC4A1,0.09304180598672027,0.999976290894045
HCCS,-0.03689557437188042,0.999976290894045
DVL2,0.13672775745357652,0.999976290894045
UPF1,0.08268102046947477,0.999976290894045
SKAP2,-0.518811106779942,0.999976290894045
SLC25A5,-0.4993909700803044,0.999976290894045
MCUB,-0.2550739073031581,0.999976290894045
POLR2J,-0.24179519258116672,0.999976290894045
DHX33,-0.09086606635556292,0.999976290894045
MEOX1,0.15421853183984688,0.999976290894045
THSD7A,-0.19755365849974307,0.999976290894045
LIG3,-0.35824550600137944,0.999976290894045
RPAP3,-0.13270550566531167,0.999976290894045
ACSM3,0.9554458894669758,0.999976290894045
REXO5,-0.4466031204907299,0.999976290894045
CIAPIN1,0.27500339304509674,0.999976290894045
SPPL2B,-0.02174017325740656,0.999976290894045
ATOSB,-0.21981823630945413,0.999976290894045
COPZ2,-0.05494205570889792,0.999976290894045
PRKAR2B,0.4894276911828301,0.999976290894045
MSL3,-0.6302578566447988,0.999976290894045
CREBBP,-0.11968566836565743,0.999976290894045
TSPOAP1,0.249801491146269,0.999976290894045
PON1,-0.31953098598449114,0.999976290894045
GCFC2,-0.04994395541556266,0.999976290894045
WDR54,0.2720595736607923,0.999976290894045
CROT,0.309709853861394,0.999976290894045
ABCB4,-0.23727533707869441,0.999976290894045
KMT2E,-0.08599867276108634,0.999976290894045
RHBDD2,-0.1281692601004593,0.999976290894045
SOX8,0.43511547715967686,0.999976290894045
IBTK,-0.17237777835964355,0.999976290894045
ZNF195,-0.19137206194053824,0.999976290894045
MYCBP2,-0.1065501156381982,0.999976290894045
FBXL3,0.06783398699519563,0.999976290894045
ITGAL,-0.26239794985988557,0.999976290894045
PDK2,-0.039672691511923555,0.999976290894045
ITGA3,0.010425120236127645,0.999976290894045
ZFX,-0.040854128362691075,0.999976290894045
LAMP2,-0.017917161067356118,0.999976290894045
ITGA2B,-0.5865887441707905,0.999976290894045
ASB4,-0.018945841912910693,0.999976290894045
GDE1,-0.030037814851004877,0.999976290894045
REX1BD,0.25470187895513785,0.999976290894045
CRLF1,-0.36312017724885176,0.999976290894045
OSBPL7,0.16526402807039,0.999976290894045
TMEM98,0.595000923182151,0.999976290894045
MAP3K14,-0.3986455893544235,0.999976290894045
ABCC8,1.1269682178506715,0.999976290894045
CACNG3,-0.5962958775565232,0.999976290894045
TMEM132A,0.027051675526965597,0.999976290894045
AP2B1,0.04093187024997619,0.999976290894045
ZNF263,-0.1514261679752822,0.999976290894045
CX3CL1,-0.3218530277595287,0.999976290894045
SPATA20,0.22125589851339406,0.999976290894045
CACNA1G,0.10451987306150604,0.999976290894045
TNFRSF12A,-0.08429332056968303,0.999976290894045
MAP3K9,1.0726175677318663,0.999976290894045
RALA,0.06950354322798369,0.999976290894045
BAIAP2L1,0.23223031043426065,0.999976290894045
KDM7A,-0.09622930219521256,0.999976290894045
ETV1,0.03628961209744328,0.999976290894045
AGK,-0.08348095299435594,0.999976290894045
ALDH3B1,0.2663999643429295,0.999976290894045
PHTF2,-0.3068951584749414,0.999976290894045
FARP2,-0.14080055429388413,0.999976290894045
USH1C,-0.2733142272115434,0.999976290894045
GGCT,0.44579094983729817,0.999976290894045
DBF4,-0.11728801076136625,0.999976290894045
TBXA2R,-0.14661103689779068,0.999976290894045
IFRD1,0.27785620137507444,0.999976290894045
COX10,-0.050239077742961706,0.999976290894045
GTF2IRD1,0.28243152131721216,0.999976290894045
PAF1,0.22825120939206034,0.999976290894045
VPS41,0.14792489484871812,0.999976290894045
ARHGAP44,-0.26165608035830606,0.999976290894045
ELAC2,-0.6206933771079314,0.999976290894045
SCIN,-0.19882960820169104,0.999976290894045
